Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,name,region,sub-region,Terrorist_attacks
Peru,0.96,1.274,0.854,0.455,0.083,0.027,Peru,Americas,Latin America and the Caribbean,18.0
Nicaragua,0.694,1.325,0.835,0.435,0.2,0.127,Nicaragua,Americas,Latin America and the Caribbean,125.6111111
Greece,1.181,1.156,0.999,0.067,0.0,0.034,Greece,Europe,Southern Europe,112.0
Qatar,1.684,1.313,0.871,0.555,0.22,0.167,Qatar,Asia,Western Asia,57.33333333
Uzbekistan,0.745,1.529,0.756,0.631,0.322,0.24,Uzbekistan,Asia,Central Asia,125.6111111
South Africa,0.96,1.351,0.469,0.389,0.13,0.055,South Africa,Africa,Sub-Saharan Africa,41.0
Chile,1.159,1.369,0.92,0.357,0.187,0.056,Chile,Americas,Latin America and the Caribbean,25.0
France,1.324,1.472,1.045,0.436,0.111,0.183,France,Europe,Western Europe,97.0
Palestinian Territories,0.657,1.247,0.672,0.225,0.103,0.066,Palestinian Territories,Asia,Western Asia,122.0
Poland,1.206,1.438,0.884,0.483,0.117,0.05,Poland,Europe,Eastern Europe,2.0
Nigeria,0.696,1.111,0.245,0.426,0.215,0.041,Nigeria,Africa,Sub-Saharan Africa,1327.0
Burundi,0.046,0.447,0.38,0.22,0.176,0.18,Burundi,Africa,Sub-Saharan Africa,155.0
Rwanda,0.359,0.711,0.614,0.555,0.217,0.411,Rwanda,Africa,Sub-Saharan Africa,20.0
Madagascar,0.274,0.916,0.555,0.148,0.169,0.041,Madagascar,Africa,Sub-Saharan Africa,5.0
Romania,1.162,1.232,0.825,0.462,0.083,0.005,Romania,Europe,Eastern Europe,125.6111111
Namibia,0.879,1.313,0.477,0.401,0.07,0.056,Namibia,Africa,Sub-Saharan Africa,122.0
Hungary,1.201,1.41,0.828,0.199,0.081,0.02,Hungary,Europe,Eastern Europe,3.0
Tajikistan,0.493,1.098,0.718,0.389,0.23,0.144,Tajikistan,Asia,Central Asia,6.0
Singapore,1.572,1.463,1.141,0.556,0.271,0.453,Singapore,Asia,South-eastern Asia,125.6111111
Lesotho,0.489,1.169,0.168,0.359,0.107,0.093,Lesotho,Africa,Sub-Saharan Africa,1419.095238
Zimbabwe,0.366,1.114,0.433,0.361,0.151,0.089,Zimbabwe,Africa,Sub-Saharan Africa,1.0
Paraguay,0.855,1.475,0.777,0.514,0.184,0.08,Paraguay,Americas,Latin America and the Caribbean,35.0
Central African Republic,0.026,0.0,0.105,0.225,0.235,0.035,Central African Republic,Africa,Sub-Saharan Africa,76.0
Cameroon,0.549,0.91,0.331,0.381,0.187,0.037,Cameroon,Africa,Sub-Saharan Africa,109.0
South Korea,1.301,1.219,1.036,0.159,0.175,0.056,South Korea,Asia,Eastern Asia,1.0
Switzerland,1.452,1.526,1.052,0.572,0.263,0.343,Switzerland,Europe,Western Europe,5.0
Cambodia,0.574,1.122,0.637,0.609,0.232,0.062,Cambodia,Asia,South-eastern Asia,2.0
Congo (Kinshasa),0.094,1.125,0.357,0.269,0.212,0.053,Congo (Kinshasa),Africa,Sub-Saharan Africa,1419.095238
Ecuador,0.912,1.312,0.868,0.498,0.126,0.087,Ecuador,Americas,Latin America and the Caribbean,5.0
Italy,1.294,1.488,1.039,0.231,0.158,0.03,Italy,Europe,Southern Europe,40.0
Belarus,1.067,1.465,0.789,0.235,0.094,0.142,Belarus,Europe,Eastern Europe,4.0
Bosnia and Herzegovina,0.945,1.212,0.845,0.212,0.263,0.006,Bosnia and Herzegovina,Europe,Southern Europe,585.4347826
El Salvador,0.794,1.242,0.789,0.43,0.093,0.074,El Salvador,Americas,Latin America and the Caribbean,125.6111111
Argentina,1.092,1.432,0.881,0.471,0.066,0.05,Argentina,Americas,Latin America and the Caribbean,10.0
New Zealand,1.303,1.557,1.026,0.585,0.33,0.38,New Zealand,Oceania,Australia and New Zealand,57.33333333
Slovenia,1.258,1.523,0.953,0.564,0.144,0.057,Slovenia,Europe,Southern Europe,125.6111111
Moldova,0.685,1.328,0.739,0.245,0.181,0.0,Moldova,Europe,Eastern Europe,2.0
Niger,0.138,0.774,0.366,0.318,0.188,0.102,Niger,Africa,Sub-Saharan Africa,24.0
Indonesia,0.931,1.203,0.66,0.491,0.498,0.028,Indonesia,Asia,South-eastern Asia,84.0
North Macedonia,0.983,1.294,0.838,0.345,0.185,0.034,North Macedonia,Europe,Southern Europe,585.4347826
Liberia,0.073,0.922,0.443,0.37,0.233,0.033,Liberia,Africa,Sub-Saharan Africa,1419.095238
Comoros,0.274,0.757,0.505,0.142,0.275,0.078,Comoros,Africa,Sub-Saharan Africa,1419.095238
Azerbaijan,1.043,1.147,0.769,0.351,0.035,0.182,Azerbaijan,Asia,Western Asia,3.0
Canada,1.365,1.505,1.039,0.584,0.285,0.308,Canada,Americas,Northern America,8.0
Luxembourg,1.609,1.479,1.012,0.526,0.194,0.316,Luxembourg,Europe,Western Europe,57.33333333
Kazakhstan,1.173,1.508,0.729,0.41,0.146,0.096,Kazakhstan,Asia,Central Asia,5.0
Ethiopia,0.336,1.033,0.532,0.344,0.209,0.1,Ethiopia,Africa,Sub-Saharan Africa,21.0
Iceland,1.38,1.624,1.026,0.591,0.354,0.118,Iceland,Europe,Northern Europe,1.0
Belgium,1.356,1.504,0.986,0.473,0.16,0.21,Belgium,Europe,Western Europe,3.0
Trinidad & Tobago,1.231,1.477,0.713,0.489,0.185,0.016,Trinidad & Tobago,Americas,Latin America and the Caribbean,125.6111111
Montenegro,1.051,1.361,0.871,0.197,0.142,0.08,Montenegro,Europe,Southern Europe,2.0
Egypt,0.913,1.039,0.644,0.241,0.076,0.067,Egypt,Africa,Northern Africa,1101.0
